Keyword,#,Name,Phone,Website,Country,"Country code",City,Category,"Category List",Likes,"Talking about","Facebook ID","Facebook Url","Facebook Page Link","P2S Website"
"Bed & Breakfast Accommodation",10,"Austiny Bed and Breakfast Accommodation",,www.austinybedandbreakfast.com.au,Australia,61,"Victor Harbor","Local business","[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""164243073639257"",""name"":""Hotel""}]",100,11,179726745381638,http://www.facebook.com/179726745381638,"=HYPERLINK(""http://www.facebook.com/179726745381638/?sk=info"", ""179726745381638"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:179726745381638"", ""Create"")"
"Bed & Breakfast Accommodation",11,"Alexander Lakeside Bed & Breakfast Hervey Bay","+61 7 4128 9448",http://www.herveybaybedandbreakfast.com.au,Australia,61,Urangan,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",315,16,165421686817125,http://www.facebook.com/165421686817125,"=HYPERLINK(""http://www.facebook.com/165421686817125/?sk=info"", ""165421686817125"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:165421686817125"", ""Create"")"
"Bed & Breakfast Accommodation",12,"Serenity On The Border Self Catered Bed & Breakfast Accommodation",0260247039,http://www.serenityontheborder.com.au,Australia,61,Wodonga,"Small business","[{""id"":""129417183848258"",""name"":""Just For Fun""}]",62,1,551991064828864,http://www.facebook.com/551991064828864,"=HYPERLINK(""http://www.facebook.com/551991064828864/?sk=info"", ""551991064828864"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:551991064828864"", ""Create"")"
"Bed & Breakfast Accommodation",13,"Bendalls Bed and Breakfast accommodation Hobart","0418 802 706",http://www.bendallsaccommodation.com,Australia,61,Hobart,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",62,,283168438748,http://www.facebook.com/283168438748,"=HYPERLINK(""http://www.facebook.com/283168438748/?sk=info"", ""283168438748"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:283168438748"", ""Create"")"
"Bed & Breakfast Accommodation",14,"Silk Pavilions | Glamping Accommodation | Bed & Breakfast - Mt Warning, NSW","02 6679 7354",http://www.silkpavilions.com.au,Australia,61,"Mount Burrell",Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",368,33,179720192086785,http://www.facebook.com/179720192086785,"=HYPERLINK(""http://www.facebook.com/179720192086785/?sk=info"", ""179720192086785"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:179720192086785"", ""Create"")"
"Bed & Breakfast Accommodation",15,"Gloria's Bed and Breakfast Accommodation","+260 213 327 203 ",http://www.gloriabedandbreakfast.com/zambia,Zambia,260,Livingstone,"Small business","[{""id"":""139745066094977"",""name"":""Business Center""}]",25,,296180503776459,http://www.facebook.com/296180503776459,"=HYPERLINK(""http://www.facebook.com/296180503776459/?sk=info"", ""296180503776459"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:296180503776459"", ""Create"")"
"Bed & Breakfast Accommodation",16,"Bunratty Meadows Bed and Breakfast Guest Accommodation","00353 (0) 61 364725",www.bunrattymeadows.com,Ireland,353,Bunratty,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",531,,165333366846843,http://www.facebook.com/165333366846843,"=HYPERLINK(""http://www.facebook.com/165333366846843/?sk=info"", ""165333366846843"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:165333366846843"", ""Create"")"
"Bed & Breakfast Accommodation",17,"Federation of Ontario Bed and Breakfast Accommodation",,http://www.fobba.com/,Canada,1,Guelph,"Non-profit organization","[{""id"":""161811347201528"",""name"":""Lodging""}]",57,11,159261537499470,http://www.facebook.com/159261537499470,"=HYPERLINK(""http://www.facebook.com/159261537499470/?sk=info"", ""159261537499470"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:159261537499470"", ""Create"")"
"Bed & Breakfast Accommodation",18,"Strahan Accommodation, Ormiston House Bed and Breakfast Tasmania",0364717077,www.ormistonhouse.com.au,Australia,61,Strahan,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",274,3,133155893372085,http://www.facebook.com/133155893372085,"=HYPERLINK(""http://www.facebook.com/133155893372085/?sk=info"", ""133155893372085"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:133155893372085"", ""Create"")"
"Bed & Breakfast Accommodation",19,"The Coppice, Lake District Bed and Breakfast Accommodation","015394 88501",www.thecoppice.co.uk,"United Kingdom",44,Windermere,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",125,3,132102073490923,http://www.facebook.com/132102073490923,"=HYPERLINK(""http://www.facebook.com/132102073490923/?sk=info"", ""132102073490923"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:132102073490923"", ""Create"")"
"Bed & Breakfast Accommodation",20,"Braeside Court Halifax Bed & Breakfast Accommodation","(902) 462-3956",http://www.braesidecourtbandb.ca,Canada,1,Dartmouth,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",34,,112150648798723,http://www.facebook.com/112150648798723,"=HYPERLINK(""http://www.facebook.com/112150648798723/?sk=info"", ""112150648798723"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:112150648798723"", ""Create"")"
"Bed & Breakfast Accommodation",21,"Bed and Breakfast Accommodation in Brighton East Sussex","0844 736 1847",http://www.seabreezebrighton.com/,"United Kingdom",44,Brighton,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",60,,514265431973319,http://www.facebook.com/514265431973319,"=HYPERLINK(""http://www.facebook.com/514265431973319/?sk=info"", ""514265431973319"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:514265431973319"", ""Create"")"
"Bed & Breakfast Accommodation",22,"Bed & Breakfast Accommodation Northland McSherry's"," +64094365453",www.mcsherrys.co.nz,"New Zealand",64,Whangarei,"Local business","[{""id"":""161811347201528"",""name"":""Lodging""}]",15,,111800202191465,http://www.facebook.com/111800202191465,"=HYPERLINK(""http://www.facebook.com/111800202191465/?sk=info"", ""111800202191465"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:111800202191465"", ""Create"")"
"Bed & Breakfast Accommodation",23,"Cranbrook Cottage Vineyard Bed & Breakfast Accommodation","03-572 8606",,"New Zealand",64,Blenheim,Hotel,"[{""id"":""209630435729071"",""name"":""Winery & Vineyard""},{""id"":""189006297788323"",""name"":""Cottage""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",14,,108399042648722,http://www.facebook.com/108399042648722,"=HYPERLINK(""http://www.facebook.com/108399042648722/?sk=info"", ""108399042648722"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:108399042648722"", ""Create"")"
"Bed & Breakfast Accommodation",24,"North Side Bed & Breakfast Accommodation",0458682151,http://www.muswellbrooknorthsidebnb.com.au/default.html,Australia,61,Muswellbrook,"Local business","[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",29,,258759387611493,http://www.facebook.com/258759387611493,"=HYPERLINK(""http://www.facebook.com/258759387611493/?sk=info"", ""258759387611493"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:258759387611493"", ""Create"")"
"Bed & Breakfast Accommodation",25,"Villa Shalom Bed & Breakfast and self catering Accommodation","1-868-776-3046 or   1-868-621-0138",http://www.villashalom.com,"Trinidad and Tobago","1 868","City of Port-of-Spain",Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",2258,2,112580025524793,http://www.facebook.com/112580025524793,"=HYPERLINK(""http://www.facebook.com/112580025524793/?sk=info"", ""112580025524793"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:112580025524793"", ""Create"")"
"Bed & Breakfast Accommodation",26,"Cabragh House, Bed and Breakfast Accommodation","00 353 0 (49)5552153  Mobile No. 0872693740",,,,,"Local business","[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",52,1,415415378524082,http://www.facebook.com/415415378524082,"=HYPERLINK(""http://www.facebook.com/415415378524082/?sk=info"", ""415415378524082"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:415415378524082"", ""Create"")"
"Bed & Breakfast Accommodation",27,"Marae"" Bed and Breakfast accommodation","07 4098 4900",http://www.marae.com.au,Australia,61,"Port Douglas",Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",37,4,226628530873426,http://www.facebook.com/226628530873426,"=HYPERLINK(""http://www.facebook.com/226628530873426/?sk=info"", ""226628530873426"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:226628530873426"", ""Create"")"
"Bed & Breakfast Accommodation",28,"Hampton Accommodations. Bed n Breakfast","(631) 324-0479",,"United States",1,"East Hampton",Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",15,,564115957019414,http://www.facebook.com/564115957019414,"=HYPERLINK(""http://www.facebook.com/564115957019414/?sk=info"", ""564115957019414"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:564115957019414"", ""Create"")"
"Bed & Breakfast Accommodation",29,"Fringe Of Heaven Bed and Breakfast Accommodation","+64 9 8178682",www.fringeofheaven.com,"New Zealand",64,Auckland,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",125,,179204495479261,http://www.facebook.com/179204495479261,"=HYPERLINK(""http://www.facebook.com/179204495479261/?sk=info"", ""179204495479261"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:179204495479261"", ""Create"")"
"Bed & Breakfast Accommodation",30,"The Lakeland Hills Bed and Breakfast Accommodation",01539722054,,"United Kingdom",44,Burneside,"Local business",,39,,206332672772414,http://www.facebook.com/206332672772414,"=HYPERLINK(""http://www.facebook.com/206332672772414/?sk=info"", ""206332672772414"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:206332672772414"", ""Create"")"
"Bed & Breakfast Accommodation",31,"Hepworth guest accommodation luxury bed and breakfast  Newquay","01637 873686",http://www.hepworthnewquay.co.uk/www.hepworthhotel.co.uk/,"United Kingdom",44,Newquay,Travel/leisure,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",55,1,614557258572511,http://www.facebook.com/614557258572511,"=HYPERLINK(""http://www.facebook.com/614557258572511/?sk=info"", ""614557258572511"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:614557258572511"", ""Create"")"
"Bed & Breakfast Accommodation",32,"Accommodation bed & breakfast milano lambrate",+39-3395270812,www.mataguesthousemilano.it,Italy,39,Milan,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""164243073639257"",""name"":""Hotel""}]",46,1,357473197631050,http://www.facebook.com/357473197631050,"=HYPERLINK(""http://www.facebook.com/357473197631050/?sk=info"", ""357473197631050"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:357473197631050"", ""Create"")"
"Bed & Breakfast Accommodation",33,"Pounds Farm, Bed and Breakfast Accommodation","01823 680802",http://poundsfarm.co.uk,"United Kingdom",44,Cullompton,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",81,,573793355994519,http://www.facebook.com/573793355994519,"=HYPERLINK(""http://www.facebook.com/573793355994519/?sk=info"", ""573793355994519"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:573793355994519"", ""Create"")"
"Bed & Breakfast Accommodation",34,"Lambley Park - Quality Bed and Breakfast Accommodation","01288 341519",www.lambley-park.co.uk,"United Kingdom",44,Holsworthy,Hotel,,65,,145012735653718,http://www.facebook.com/145012735653718,"=HYPERLINK(""http://www.facebook.com/145012735653718/?sk=info"", ""145012735653718"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:145012735653718"", ""Create"")"
"Bed & Breakfast Accommodation",35,"Lazy Days Bed and Breakfast Accommodation Victor Harbor","08 8554 6529",www.lazydayscottagebnb.com.au,Australia,61,"Victor Harbor","Local business",,41,7,309195485863003,http://www.facebook.com/309195485863003,"=HYPERLINK(""http://www.facebook.com/309195485863003/?sk=info"", ""309195485863003"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:309195485863003"", ""Create"")"
"Bed & Breakfast Accommodation",36,"Phuket Gay Bed & Breakfast Accommodation in Thailand",,http://thebougainvilla.com,Thailand,66,"Ban Patong","Local business",,32,,138234319539930,http://www.facebook.com/138234319539930,"=HYPERLINK(""http://www.facebook.com/138234319539930/?sk=info"", ""138234319539930"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:138234319539930"", ""Create"")"
"Bed & Breakfast Accommodation",37,"Chapel Croft Bed and Breakfast Accommodation",01782,"http://www.chapelcroft.com
http://www.chapelcroft.co.uk","United Kingdom",44,Biddulph,"Local business",,29,,185791468107834,http://www.facebook.com/185791468107834,"=HYPERLINK(""http://www.facebook.com/185791468107834/?sk=info"", ""185791468107834"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:185791468107834"", ""Create"")"
"Bed & Breakfast Accommodation",38,"Vue de M Bed & Breakfast - Goolwa Accommodation",0885551487,www.vuedemerde.com.au,Australia,61,Goolwa,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""},{""id"":""189006297788323"",""name"":""Cottage""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",16,,256881214380416,http://www.facebook.com/256881214380416,"=HYPERLINK(""http://www.facebook.com/256881214380416/?sk=info"", ""256881214380416"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:256881214380416"", ""Create"")"
"Bed & Breakfast Accommodation",39,"Clare View Accommodation: Clare Valley bed and breakfast","04 338 444 82",www.clareview.com.au,Australia,61,Clare,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",56,,136047146447297,http://www.facebook.com/136047146447297,"=HYPERLINK(""http://www.facebook.com/136047146447297/?sk=info"", ""136047146447297"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:136047146447297"", ""Create"")"
"Bed & Breakfast Accommodation",40,"Hazeldene Accommodation Bed  and Breakfast","023 8844848",<<not-applicable>>,Ireland,353,Bandon,"Local business","[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",25,,656079451146073,http://www.facebook.com/656079451146073,"=HYPERLINK(""http://www.facebook.com/656079451146073/?sk=info"", ""656079451146073"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:656079451146073"", ""Create"")"
"Bed & Breakfast Accommodation",41,"Atlantic Villa Bed & Breakfast - Self Catering Cottages","087 2126798",http://www.anirishexperience.com/index.html,,,,Hotel,,187,1,185273228163014,http://www.facebook.com/185273228163014,"=HYPERLINK(""http://www.facebook.com/185273228163014/?sk=info"", ""185273228163014"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:185273228163014"", ""Create"")"
"Bed & Breakfast Accommodation",42,"Niagara Bed and Breakfast Accommodations",905-988-1303,http://www.niagarabb.com,Canada,1,"Saint Catharines",Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",13,,113835255314882,http://www.facebook.com/113835255314882,"=HYPERLINK(""http://www.facebook.com/113835255314882/?sk=info"", ""113835255314882"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:113835255314882"", ""Create"")"
"Bed & Breakfast Accommodation",43,"Labyrinth Rocks Bed & Breakfast Golden Bay Accommodation",035258665,http://labyrinthrocks.co.nz,"New Zealand",64,Takaka,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",89,,394883290581571,http://www.facebook.com/394883290581571,"=HYPERLINK(""http://www.facebook.com/394883290581571/?sk=info"", ""394883290581571"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:394883290581571"", ""Create"")"
"Bed & Breakfast Accommodation",44,"Belmont Bed and Breakfast, boutique hotel accommodation.","+64 3 354 6890",www.belmontbnb.co.nz,"New Zealand",64,Christchurch,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""164243073639257"",""name"":""Hotel""}]",61,1,177030732321082,http://www.facebook.com/177030732321082,"=HYPERLINK(""http://www.facebook.com/177030732321082/?sk=info"", ""177030732321082"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:177030732321082"", ""Create"")"
"Bed & Breakfast Accommodation",45,"Fort Langley Garden Short Stay Accommodation Bed & Breakfast",604-882-2955,https://www.facebook.com/FortLangleyGardenShortStayAccomodation,Canada,1,Langley,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",66,,400581763340020,http://www.facebook.com/400581763340020,"=HYPERLINK(""http://www.facebook.com/400581763340020/?sk=info"", ""400581763340020"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:400581763340020"", ""Create"")"
"Bed & Breakfast Accommodation",46,"Occasional Accommodation Bed and Breakfast",01438869517,,"United Kingdom",44,Benington,Hotel,,12,,193522414009216,http://www.facebook.com/193522414009216,"=HYPERLINK(""http://www.facebook.com/193522414009216/?sk=info"", ""193522414009216"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:193522414009216"", ""Create"")"
"Bed & Breakfast Accommodation",47,"Cyrau View Bed and Breakfast and Self Catering Accommodation","01690 710771",betws-y-coed-accommodation.co.uk,,,,"Small business",,22,,270657579639426,http://www.facebook.com/270657579639426,"=HYPERLINK(""http://www.facebook.com/270657579639426/?sk=info"", ""270657579639426"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:270657579639426"", ""Create"")"
"Bed & Breakfast Accommodation",48,"FoxPond Bed and Breakfast: Inn and Accommodations, Marblehead MA","(781) 631-1630",foxpondbnb.com,"United States",1,Marblehead,Hotel,"[{""id"":""199611383389617"",""name"":""Lodge""},{""id"":""181803978524025"",""name"":""Inn""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",95,,164245853626906,http://www.facebook.com/164245853626906,"=HYPERLINK(""http://www.facebook.com/164245853626906/?sk=info"", ""164245853626906"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:164245853626906"", ""Create"")"
"Bed & Breakfast Accommodation",49,"Bush Sand and Sea - Bed and Breakfast Accommodation - Bethells, Auckland NZ",098109584,,,,,"Local business",,26,,184989119900,http://www.facebook.com/184989119900,"=HYPERLINK(""http://www.facebook.com/184989119900/?sk=info"", ""184989119900"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:184989119900"", ""Create"")"
"Bed & Breakfast Accommodation",50,"Accommodation Bed and Breakfast Available in South Africa",+27606965522,http://www.tantsanbandb.wozaonline.co.za,"South Africa",27,Christiana,"Local business","[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",71,1,193262710871425,http://www.facebook.com/193262710871425,"=HYPERLINK(""http://www.facebook.com/193262710871425/?sk=info"", ""193262710871425"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:193262710871425"", ""Create"")"
"Bed & Breakfast Accommodation",51,"Amadeus Haus Bed & Breakfast - Stratford Ontario Accommodations","1-866-576-9139 ",,Canada,1,Stratford,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",53,,308117422594655,http://www.facebook.com/308117422594655,"=HYPERLINK(""http://www.facebook.com/308117422594655/?sk=info"", ""308117422594655"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:308117422594655"", ""Create"")"
"Bed & Breakfast Accommodation",52,Inn-at-Cooperstown-Hotels-Lodging-Inn-Accommodations-Cooperstown-NY,"(607) 547-5756",www.innatcooperstown.com,"United States",1,Cooperstown,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""181803978524025"",""name"":""Inn""},{""id"":""164243073639257"",""name"":""Hotel""}]",1446,15,54672978815,http://www.facebook.com/54672978815,"=HYPERLINK(""http://www.facebook.com/54672978815/?sk=info"", ""54672978815"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:54672978815"", ""Create"")"
"Bed & Breakfast Accommodation",53,"Bondi Shores Accommodation","612 9130 6787",www.bondishores.com.au,Australia,61,Bondi,Hotel,"[{""id"":""152050108191372"",""name"":""Motel""},{""id"":""150438461681329"",""name"":""Hostel""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",4641,132,157745147623759,http://www.facebook.com/157745147623759,"=HYPERLINK(""http://www.facebook.com/157745147623759/?sk=info"", ""157745147623759"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:157745147623759"", ""Create"")"
"Bed & Breakfast Accommodation",54,"Santa Teresa Accommodation",+552122226166,http://www.santaaccommodation.com/,Brazil,55,"Rio de Janeiro",Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""192686080759400"",""name"":""Vacation Home Rental""},{""id"":""211155112228091"",""name"":""Event Venue""}]",1925,17,545372345482873,http://www.facebook.com/545372345482873,"=HYPERLINK(""http://www.facebook.com/545372345482873/?sk=info"", ""545372345482873"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:545372345482873"", ""Create"")"
"Bed & Breakfast Accommodation",55,"Nou's Toeka Accommodation & Events Centre","+27 (0)13 741 3410 or +27 (0)60 316 7932",www.noustoeka.co.za,"South Africa",27,Nelspruit,"Event planning/event services","[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""150217168372274"",""name"":""German Restaurant""},{""id"":""211155112228091"",""name"":""Event Venue""}]",421,24,455538797850926,http://www.facebook.com/455538797850926,"=HYPERLINK(""http://www.facebook.com/455538797850926/?sk=info"", ""455538797850926"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:455538797850926"", ""Create"")"
"Bed & Breakfast Accommodation",56,"La Maison Du Bonheur (Short Term Accommodation)","+61 401 815 650","www.lamaisondubonheur.co, www.gumtree.com.au, www.airbnb.com",Australia,61,Darwin,"Local business","[{""id"":""2500"",""name"":""Local Business""}]",76,,283658328387880,http://www.facebook.com/283658328387880,"=HYPERLINK(""http://www.facebook.com/283658328387880/?sk=info"", ""283658328387880"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:283658328387880"", ""Create"")"
"Bed & Breakfast Accommodation",57,"Zorbas Beach Village Hotel","+30 28210 39010-11,  +30 697 8187 355","www.hotel-zorbas.gr, http://hotelzorbas.wordpress.com, http://pinterest.com/hotelzorbas",Greece,30,Chaniá,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",1647,,271957426207584,http://www.facebook.com/271957426207584,"=HYPERLINK(""http://www.facebook.com/271957426207584/?sk=info"", ""271957426207584"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:271957426207584"", ""Create"")"
"Bed & Breakfast Accommodation",58,"Alora Valley View Accommodations","34  952 496 590",aloravalleyview.com,Spain,34,Alora,"Local business","[{""id"":""192686080759400"",""name"":""Vacation Home Rental""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",311,1,169246189765410,http://www.facebook.com/169246189765410,"=HYPERLINK(""http://www.facebook.com/169246189765410/?sk=info"", ""169246189765410"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:169246189765410"", ""Create"")"
